Venue,Venue_ID
Buffalo Bills Arena,1
Plaza Hotel,2
Orleans Hotel,3
Reno Events Centre,4
Mandalay Bay,5
South Point Hotel,6
Hard Rock,7
MGM Grand,8
Planet Hollywood,9
Churchill Fairgrounds,10
Treasure Island,11
Palms Resort,12
Grand Sierra Resort,13
Las Vegas Hilton,14
Rio Casino,15
Thomas & Mack Center,16
Tropicana Motel,17
Silverton Hotel,18
Rio All Suite Hotel,19
Cox Pavilion,20
Texas Station,21
MGM Arena,22
CosmoLV,23
Reno Events Center,24
LV Convention Center,25
LVH,26
Soboba Casino,27
Marriott Hotel,28
The Hangar,29
Florentine Gardens,30
CBB Arena,31
Edgewater Laughlin,32
Chumash Casino,33
Commerce Casino,34
Morongo Casino,35
OC Fairgrounds,36
Westin Hotel,37
Fairgrounds,38
Omega Arena,39
Sports Center,40
4 Points Sheraton,41
Pechanga Casino,42
Oracle Arena,43
Woodlake Hotel,44
Doubletree Hotel,45
Fantasy Springs,46
Memorial Auditorium,47
Finish Line Sports Grill,48
Phoenix Club,49
Urban Arena,50
Wynn Resort,51
Staples Center,52
Home Base Building,53
Four Points Hotel,54
Sports Arena,55
Georgie Duke Center,56
Mirage Resorts,57
Business Expo Center,58
Salinas Storm House,59
Jonathan Club,60
Hawaiian Gardens,61
International Catering,62
Fox Theater,63
Marconi Museum,64
Home Depot Center,65
Fairplex,66
Westin Bonaventure,67
Lions Gate CC,68
Citizens Bank Arena,69
Hyatt Regency,70
Bing Crosby Hall,71
County Fairgrounds,72
Hollywood Park Casino,73
Red Lion Hotel,74
Placer Fairgrounds,75
Finish Line Grill,76
Quiet Cannon,77
Intl. Catering,78
Omega Production,79
Sports Center LV,80
StubHub,81
Civic Auditorium,82
Del Mar Fair,83
Drive-In,84
Golden Eagle Arena,85
Crowne Plaza Hotel,86
Sam's Town,87
Redwood City,88
Storm House,89
Pala Casino,90
Performing Arts Centre,91
Four Points,92
Cache Creek,93
Barker Hangar,94
Hangar at OC,95
El Rodeo,96
Oceanview Pavilion,97
USC Galen Center,98
The Forum,99
Santa Monica Pier,100
Tropicana Hotel,101
Costa Mesa,102
Oxnard Arts Center,103
Longshoreman's Hall,104
Pioneer Events Centre,105
Alameda Fair.,106
Harley Davidson,107
Omega Products,108
SOS Club,109
Sunset Station,110
Selland Arena,111
Sportsmen's Lounge,112
Chumash Casion,113
Cache Creek Casino,114
Marin Center,115
Belasco Theater,116
Marconi Auto. Museum,117
Auditorium,118
Ray Dolby Ballroom,119
Hotel irvine,120
D Hotel,121
Pioneer Event Center,122
LA Sports Arena,123
Show Palace,124
Hollywood Palladium,125
Sportsman's Lounge,126
Tachi Palace,127
OC Fair.,128
Sheraton Hotel,129
Marriott Convention Center,130
Richmond Mem. Aud.,131
Save Mart Arena,132
Sam's Hotel,133
LVDEC,134
Toshiba Plaza,135
T-Mobile Arena,136
DLVEC,137
Ray Dolby,138
Atlantis Hotel,139
Reno Sparks,140
Microsoft Theater,141
Hard Rock Hotel,142
Cannery H&C,143
Monte Carlo Hotel,144
Studio City,145
